iter	RMSE
0	1.032892786
1	1.022328434
2	1.011851727
3	1.001455964
4	0.9912532496
5	0.9811634307
6	0.9713159052
7	0.9614104135
8	0.9516615396
9	0.9421945336
10	0.9327874298
11	0.9235160626
12	0.9142880811
13	0.9052535064
14	0.8964061372
15	0.8875570954
16	0.8789484016
17	0.8703226358
18	0.8619258105
19	0.8536850369
20	0.8455473148
21	0.837363498
22	0.8293618252
23	0.8213777551
24	0.8135529816
25	0.8058257361
26	0.7983107605
27	0.7908913561
28	0.7835599566
29	0.7763367704
30	0.7692868063
31	0.7622953309
32	0.7553587745
33	0.7484708728
34	0.7416835282
35	0.7350837893
36	0.7285261279
37	0.7221167566
38	0.7158018614
39	0.709526885
40	0.7034521162
41	0.6973315202
42	0.6912875549
43	0.6853652202
44	0.679514744
45	0.6737525376
46	0.6679326036
47	0.6622450534
48	0.6567648606
49	0.6514580585
50	0.6460882968
51	0.6407511154
52	0.6355584422
53	0.6305066226
54	0.6255331746
55	0.620534333
56	0.6155387277
57	0.6106787118
58	0.6058021939
59	0.6011577245
60	0.5965914584
61	0.5920036253
62	0.5875178121
63	0.5830201908
64	0.5786242709
65	0.5742576722
66	0.5700290368
67	0.5658247429
68	0.5617358089
69	0.5577066991
70	0.553639311
71	0.5496920659
72	0.5458198224
73	0.5419258614
74	0.5381883609
75	0.5344295601
76	0.5307236965
77	0.5270975511
78	0.5235816577
79	0.5200156102
80	0.5165956494
81	0.5132315076
82	0.5099416106
83	0.5066129472
84	0.5033606236
85	0.5001581012
86	0.4969897706
87	0.4938467061
88	0.490703289
89	0.4876560466
90	0.4847024021
91	0.4817989778
92	0.4789184859
93	0.4761219607
94	0.4732778703
95	0.4705644825
96	0.467866256
97	0.4652287534
98	0.462571306
99	0.4599469334
100	0.4574615032
101	0.4548657867
102	0.4524141861
103	0.4500399575
104	0.4476411177
105	0.4452850422
106	0.4429371751
107	0.4406394514
108	0.4384509353
109	0.4362638976
110	0.4340503215
111	0.4319219272
112	0.4298520024
113	0.4278209374
114	0.4257855968
115	0.4237490145
116	0.4217862762
117	0.4199199175
118	0.4179779865
119	0.4161052567
120	0.4142404403
121	0.4124219783
122	0.4106327949
123	0.4088261191
124	0.4070775188
125	0.4054218346
126	0.4037598188
127	0.4021693405
128	0.400524241
129	0.3988664535
130	0.3973232511
131	0.3957352648
132	0.3942027319
133	0.3927372382
134	0.3912890152
135	0.3898499392
136	0.3883710684
137	0.3869466918
138	0.3855515651
139	0.3842488715
140	0.3828619336
141	0.3815574493
142	0.3801740645
143	0.3788676969
144	0.3775889911
145	0.3763377019
146	0.3750442513
147	0.3737983426
148	0.3725491521
149	0.371387759
150	0.3702502951
151	0.3691112808
152	0.3679562255
153	0.3668035689
154	0.3656973727
155	0.3646205072
156	0.3636037634
157	0.362552906
158	0.3615237605
159	0.3604890175
160	0.3594871326
161	0.3584763241
162	0.3575582971
163	0.3565844226
164	0.3556764175
165	0.3547655541
166	0.3538276358
167	0.3529165861
168	0.3520155168
169	0.3511315582
170	0.35025444
171	0.349400278
172	0.3485850301
173	0.3477397725
174	0.3468862499
175	0.3460807957
176	0.3453360198
177	0.3445647362
178	0.3438015069
179	0.3430260135
180	0.3422745102
181	0.3415061388
182	0.3408005805
183	0.3401120252
184	0.3393931363
185	0.3386960447
186	0.3380319583
187	0.337333565
188	0.3366535952
