iter	Passed	Remaining
413	3297	76356
414	3305	76346
415	3313	76345
416	3321	76341
417	3329	76324
418	3337	76317
419	3345	76312
420	3353	76297
421	3361	76293
422	3368	76273
423	3376	76252
424	3384	76244
425	3392	76239
426	3400	76227
427	3407	76214
428	3416	76215
429	3424	76208
430	3432	76208
431	3439	76189
432	3447	76182
433	3455	76174
434	3463	76162
435	3471	76142
436	3479	76137
437	3486	76114
438	3494	76103
439	3502	76100
440	3510	76095
441	3518	76094
442	3526	76085
443	3535	76083
444	3543	76082
445	3551	76068
446	3559	76064
447	3566	76049
448	3574	76045
449	3582	76023
450	3590	76011
451	3598	76007
452	3606	76003
453	3614	75995
454	3622	75986
455	3629	75968
456	3637	75956
457	3645	75947
458	3653	75935
459	3661	75938
460	3670	75940
461	3677	75929
462	3685	75917
463	3693	75906
464	3701	75893
465	3709	75902
466	3718	75904
467	3725	75888
468	3734	75892
469	3742	75882
470	3750	75877
471	3758	75870
472	3766	75854
473	3773	75844
474	3782	75845
475	3790	75839
476	3798	75830
477	3805	75815
478	3814	75811
479	3821	75801
480	3829	75791
481	3837	75786
482	3845	75774
483	3853	75769
484	3861	75766
485	3869	75755
486	3877	75738
487	3885	75729
488	3893	75728
489	3901	75720
490	3909	75719
491	3918	75716
492	3926	75711
493	3934	75705
494	3942	75696
495	3950	75702
496	3958	75692
497	3966	75681
498	3974	75677
499	3982	75669
500	3990	75658
501	3997	75635
502	4005	75623
503	4013	75614
504	4021	75614
505	4029	75598
506	4036	75584
507	4044	75571
508	4052	75566
509	4060	75561
510	4068	75546
511	4076	75540
512	4084	75529
513	4091	75518
514	4100	75519
515	4108	75507
516	4116	75498
517	4124	75491
518	4132	75489
519	4140	75487
520	4148	75480
521	4156	75470
522	4164	75465
523	4172	75453
524	4180	75447
525	4188	75441
526	4197	75443
527	4205	75442
528	4213	75431
529	4221	75426
530	4229	75418
531	4237	75407
532	4244	75385
533	4252	75377
534	4260	75369
535	4268	75360
536	4275	75350
537	4283	75339
538	4291	75334
539	4299	75319
540	4307	75315
541	4315	75302
542	4323	75294
543	4331	75295
544	4339	75288
545	4348	75285
546	4355	75275
547	4363	75265
548	4371	75258
549	4379	75247
550	4387	75236
551	4395	75231
552	4403	75218
553	4410	75206
554	4418	75197
555	4426	75185
556	4434	75181
557	4442	75167
558	4450	75164
559	4458	75161
560	4466	75145
561	4473	75133
562	4482	75128
563	4490	75123
564	4498	75116
565	4505	75103
566	4513	75093
567	4521	75083
568	4529	75077
569	4537	75074
570	4545	75060
571	4553	75047
572	4561	75044
573	4569	75035
574	4577	75025
575	4584	75014
576	4593	75009
577	4600	74997
578	4608	74992
579	4616	74984
580	4625	74983
581	4633	74979
582	4641	74972
583	4649	74963
584	4657	74953
585	4665	74943
586	4672	74934
587	4680	74927
588	4688	74912
589	4695	74896
590	4704	74892
591	4712	74891
592	4720	74888
593	4729	74883
594	4737	74882
595	4745	74875
596	4753	74874
597	4761	74862
598	4769	74851
599	4777	74839
600	4784	74825
601	4792	74810
602	4799	74798
603	4807	74789
604	4815	74776
605	4822	74762
606	4830	74755
607	4838	74749
608	4847	74743
609	4855	74743
610	4863	74727
611	4871	74721
612	4878	74710
613	4886	74699
614	4894	74687
615	4902	74677
616	4910	74670
617	4918	74664
618	4926	74656
619	4934	74650
620	4942	74640
621	4950	74635
622	4957	74618
623	4965	74603
624	4972	74591
625	4980	74582
626	4988	74570
627	4996	74566
628	5004	74562
629	5012	74557
630	5020	74550
631	5029	74545
632	5037	74544
633	5045	74537
634	5053	74532
635	5061	74528
636	5070	74522
637	5078	74523
638	5086	74513
639	5094	74510
640	5102	74498
641	5110	74489
642	5117	74477
643	5125	74469
644	5133	74458
645	5142	74456
646	5150	74449
647	5157	74435
648	5165	74423
649	5173	74413
650	5180	74402
651	5188	74396
652	5197	74398
653	5205	74385
654	5212	74374
655	5221	74368
656	5229	74364
657	5236	74352
658	5244	74343
659	5252	74336
660	5260	74327
661	5268	74316
662	5276	74304
663	5284	74296
664	5292	74293
665	5300	74286
666	5308	74274
667	5316	74270
668	5324	74262
669	5332	74252
670	5340	74251
671	5348	74239
672	5356	74234
673	5363	74218
674	5371	74212
675	5379	74198
676	5387	74187
677	5394	74172
678	5402	74164
679	5410	74159
680	5418	74149
681	5426	74147
682	5435	74144
683	5442	74131
684	5450	74125
685	5459	74122
686	5467	74114
687	5475	74109
688	5483	74099
689	5491	74094
690	5499	74083
691	5506	74073
692	5514	74064
693	5522	74058
694	5531	74055
695	5539	74047
696	5547	74040
697	5555	74036
698	5563	74031
699	5571	74027
700	5579	74019
701	5587	74010
702	5596	74009
703	5604	74002
704	5611	73990
705	5619	73977
706	5627	73975
707	5635	73965
708	5643	73958
709	5651	73947
710	5659	73938
711	5667	73932
712	5675	73922
713	5683	73918
714	5691	73913
715	5700	73909
716	5708	73905
717	5716	73896
718	5724	73894
719	5732	73882
720	5740	73872
721	5748	73872
722	5756	73857
723	5763	73843
724	5771	73835
725	5779	73826
726	5787	73819
727	5795	73815
728	5803	73799
729	5810	73791
730	5819	73784
731	5826	73775
732	5834	73763
733	5842	73754
734	5849	73739
735	5857	73728
736	5865	73717
737	5873	73712
738	5881	73703
739	5889	73692
740	5896	73684
741	5904	73672
742	5912	73669
743	5921	73662
744	5929	73658
745	5937	73656
746	5945	73642
747	5952	73627
748	5960	73621
749	5968	73607
750	5975	73594
751	5983	73581
752	5991	73571
753	5998	73562
754	6007	73556
755	6015	73551
756	6023	73542
757	6031	73534
758	6039	73526
759	6046	73515
760	6054	73504
761	6062	73495
762	6069	73484
763	6078	73477
764	6085	73469
765	6093	73460
766	6101	73452
767	6110	73447
768	6118	73449
769	6126	73441
770	6134	73431
771	6142	73423
772	6150	73412
773	6157	73399
774	6165	73394
775	6173	73386
776	6182	73381
777	6190	73376
778	6198	73372
779	6206	73367
780	6214	73361
781	6222	73353
782	6231	73349
783	6239	73343
784	6247	73340
785	6255	73331
786	6263	73318
787	6270	73308
788	6278	73297
789	6286	73284
790	6294	73278
791	6302	73270
792	6310	73266
793	6317	73249
794	6325	73240
795	6333	73231
796	6341	73224
797	6349	73216
798	6357	73205
799	6365	73197
800	6372	73186
801	6380	73172
802	6387	73162
803	6395	73153
804	6403	73144
805	6411	73135
806	6419	73124
807	6427	73116
808	6435	73110
809	6443	73105
810	6451	73100
811	6459	73087
812	6467	73081
813	6474	73070
814	6482	73060
815	6491	73064
816	6500	73063
817	6508	73056
818	6516	73052
819	6524	73041
820	6532	73033
821	6540	73024
822	6548	73018
823	6556	73011
824	6564	73001
825	6571	72991
826	6580	72987
827	6588	72978
828	6596	72976
829	6604	72969
830	6612	72963
831	6620	72954
832	6628	72945
833	6636	72936
834	6644	72929
835	6652	72918
836	6659	72908
837	6667	72897
838	6675	72887
839	6683	72881
840	6691	72878
841	6701	72883
842	6708	72875
843	6716	72863
844	6724	72857
845	6732	72850
846	6741	72848
847	6749	72842
848	6757	72838
849	6765	72833
850	6773	72823
851	6781	72815
852	6789	72805
853	6797	72796
854	6805	72786
855	6812	72772
856	6820	72764
857	6828	72757
858	6836	72750
859	6844	72740
860	6852	72735
861	6860	72727
862	6868	72718
863	6876	72709
864	6884	72706
865	6892	72697
866	6900	72687
867	6907	72676
868	6915	72669
869	6923	72661
870	6932	72662
871	6940	72655
872	6948	72645
873	6956	72634
874	6963	72623
875	6972	72618
876	6980	72612
877	6988	72605
878	6996	72603
879	7005	72598
880	7012	72587
881	7021	72582
882	7029	72576
883	7037	72569
884	7045	72559
885	7052	72546
886	7060	72538
887	7068	72530
888	7076	72524
889	7084	72515
890	7092	72507
891	7100	72500
892	7107	72488
893	7115	72479
894	7124	72474
895	7132	72468
896	7140	72460
897	7148	72451
898	7155	72442
899	7164	72436
900	7172	72431
901	7180	72422
902	7188	72413
903	7195	72401
904	7203	72389
905	7210	72380
906	7218	72372
907	7227	72368
908	7235	72361
909	7242	72349
910	7250	72339
911	7258	72332
912	7266	72322
913	7274	72317
914	7283	72313
915	7291	72312
916	7300	72311
917	7308	72304
918	7317	72304
919	7325	72302
920	7333	72295
921	7341	72283
922	7349	72274
923	7357	72265
924	7365	72257
925	7372	72246
926	7380	72236
927	7388	72227
928	7396	72217
929	7403	72207
930	7411	72198
931	7419	72187
932	7426	72173
933	7434	72167
934	7442	72160
935	7450	72150
936	7458	72140
937	7466	72135
938	7474	72130
939	7482	72122
940	7491	72122
941	7499	72117
942	7507	72106
943	7515	72100
944	7523	72091
945	7531	72084
946	7539	72078
947	7547	72065
948	7554	72052
949	7563	72050
950	7571	72043
951	7579	72034
952	7587	72028
953	7595	72023
954	7603	72016
955	7612	72011
956	7620	72007
957	7627	71991
958	7635	71979
959	7642	71969
960	7651	71967
961	7659	71957
962	7667	71951
963	7675	71945
964	7683	71935
965	7691	71930
966	7699	71925
967	7708	71926
968	7717	71923
969	7726	71923
970	7733	71912
971	7741	71902
972	7749	71898
973	7757	71887
974	7765	71876
975	7773	71870
976	7781	71862
977	7788	71852
978	7797	71845
979	7804	71836
980	7812	71827
981	7820	71818
982	7828	71808
983	7835	71796
984	7843	71787
985	7851	71779
986	7859	71771
987	7866	71758
988	7874	71747
989	7882	71738
990	7890	71729
991	7898	71721
992	7906	71717
993	7914	71711
994	7922	71701
995	7930	71693
996	7939	71691
997	7947	71683
998	7954	71672
999	7962	71666
1000	7970	71656
1001	7978	71648
1002	7986	71641
1003	7994	71632
1004	8002	71626
1005	8010	71617
1006	8018	71611
1007	8026	71604
1008	8034	71594
1009	8042	71583
1010	8050	71575
1011	8057	71565
1012	8066	71561
1013	8074	71552
1014	8082	71546
1015	8090	71536
1016	8098	71531
1017	8107	71530
1018	8115	71529
1019	8124	71523
1020	8131	71513
1021	8139	71503
1022	8146	71490
1023	8154	71481
